,ACCIDENT_NO,LONGITUDE,LATITUDE,LGA_NAME,ROAD,RADIUS,NUMBER OF ACCIDENTS
27,T20150020801,147.06412,-37.9999,WELLINGTON,PRINCES HIGHWAY,3.5442272761364166 km,11
28,T20130025617,143.77244,-38.45003,COLAC OTWAY,BIRREGURRA-FORREST ROAD,2.7875214581962338 km,6
29,T20130026414,143.48605,-35.301520000000004,SWAN HILL,LAKE ROAD,0.0 km,1
30,T20150006924,146.00751,-36.819720000000004,BENALLA,MIDLAND HIGHWAY,0.9091833947126253 km,3
31,T20160020184,145.9002,-38.154270000000004,BAW BAW,BURKE STREET,10.120192393915382 km,263
32,T20130026423,146.50613,-37.86882,WELLINGTON,DEEP CREEK NO5 TRACK,0.7167601764858053 km,2
33,T20130026427,145.79586,-36.055279999999996,MOIRA,KATAMATITE-YARRAWONGA ROAD,0.0 km,1
34,T20130025262,146.9358,-37.52748,WELLINGTON,OLD MOROKA ROAD,0.0 km,1
35,T20140025253,145.43822,-36.088390000000004,MOIRA,SAXTON STREET,2.1423131976202736 km,16
36,T20170022996,143.93715,-38.48425,SURF COAST,DEANS MARSH-LORNE ROAD,1.0795394463786256 km,8
37,T20170010253,144.00523,-37.38617,HEPBURN,MIDLAND HIGHWAY,0.012230321428483003 km,2
38,T20160014201,141.31288999999998,-37.66815,GLENELG,CASTERTON-DARTMOOR ROAD,0.2639388580924471 km,2
39,T20130025659,143.30812,-36.97898,PYRENEES,BORBIDGE LANE,0.24587264414447949 km,2
40,T20170012569,142.91418000000002,-38.23835,CORANGAMITE,GREY STREET,1.9790862442320312 km,19
41,T20140012833,143.03441999999998,-38.52539,CORANGAMITE,COORIEMUNGLE ROAD,1.1832600598867082 km,5
42,T20130026047,144.86452,-37.31408,MITCHELL,LOWDENS ROAD,0.6269374125823218 km,2
43,T20130026049,142.22943,-38.38064,MOYNE,ALBERT STREET -PRINCES HIGHWAY,1.7575779671066647 km,18
44,T20150016382,145.8727,-37.5139,(LAKE MOUNTAIN),LAKE MOUNTAIN ROAD,1.828254732214723 km,13
45,T20150019048,144.31859,-38.32184,SURF COAST,SURF COAST HIGHWAY,5.220355920270585 km,102
46,T20170009791,144.8633,-37.39062,MACEDON RANGES,ROMSEY ROAD,0.7278559920991261 km,4
47,T20150018910,143.26086,-37.39124,PYRENEES,WESTERN HIGHWAY,0.8513110716366505 km,3
48,T20150011041,144.48228,-37.46663,MACEDON RANGES,FINGER POST ROAD,0.5903483753930954 km,4
49,T20150006057,146.6431,-37.64848,WELLINGTON,LICOLA ROAD,0.004271631478957789 km,2
50,T20130025664,143.14713999999998,-38.23578,CORANGAMITE,LEURA STREET,2.169700703207055 km,15
51,T20130025665,147.6883,-37.688590000000005,EAST GIPPSLAND,NICHOLSON PARK ROAD,0.0 km,1
52,T20140013152,143.5551,-35.33927,SWAN HILL,MCCALLUM STREET,4.18033873860552 km,117
53,T20170004256,147.61881,-37.827329999999996,EAST GIPPSLAND,LIGAR STREET,5.767508588544083 km,158
54,T20140024826,144.44016000000002,-37.76501,MOORABOOL,GEELONG-BACCHUS MARSH ROAD,2.586226661670904 km,25
55,T20140002577,147.06881,-38.09845,WELLINGTON,RAGLAN STREET,5.319877592426382 km,124
56,T20130026083,143.70623999999998,-37.51137,BALLARAT,REMEMBRANCE DRIVE,1.1904182662269946 km,14
57,T20130026477,141.58528,-36.36889,HINDMARSH,WESTERN HIGHWAY,0.32737785910446254 km,2
58,T20140001400,142.35728,-38.29094,MOYNE,KOROIT-PORT FAIRY ROAD,1.9435272048932013 km,10
59,T20130025305,144.82161000000002,-37.015229999999995,MITCHELL,SEYMOUR-TOOBORAC ROAD,0.524613041088996 km,3
60,T20150025128,145.42029,-36.80979,STRATHBOGIE,CARTERS LANE,0.4683376033716881 km,2
61,T20150023927,144.13121,-37.86149,GOLDEN PLAINS,MEREDITH-STEIGLITZ ROAD,0.4373118110032912 km,11
62,T20140008259,144.34274,-37.09414,MOUNT ALEXANDER,CALDER FREEWAY,2.0448520767048843 km,10
63,T20150022162,143.69376,-37.477309999999996,BALLARAT,CARPENTER ROAD,1.4387945338604973 km,4
64,T20130026099,145.70122,-38.64204,BASS COAST,TOORAK ROAD,0.0 km,1
65,T20140014131,146.45167,-36.21241,WANGARATTA,HUME FREEWAY,2.673932316771975 km,10
66,T20150000039,146.00996,-36.01502,MOIRA,COGHILL STREET,3.4045537298742476 km,43
67,T20140024961,146.99159,-37.89516,WELLINGTON,MAFFRA-BRIAGOLONG ROAD,0.5755227067984967 km,2
68,T20190001343,142.31247,-35.01209,MILDURA,OLD KIA ROAD,1.1918576065955542 km,4
69,T20130026493,145.16846,-36.24643,SHEPPARTON,ECHUCA ROAD,0.0 km,1
70,T20170021546,146.03638,-37.998490000000004,BAW BAW,LATROBE RIVER ROAD,5.494086716027889 km,60
71,T20130026505,145.1947,-36.84644,STRATHBOGIE,MCDONALDS ROAD,0.0 km,1
72,T20140023879,146.10329,-38.7047,SOUTH GIPPSLAND,BEARDS ROAD,1.8587917614409106 km,15
73,T20130025704,147.27595,-36.31458,TOWONG,YABBA ROAD,0.0 km,1
74,T20140026393,145.14638,-37.01508,MITCHELL,REDBANK ROAD,6.652221815913835 km,58
75,T20130025725,143.7075,-37.55788,BALLARAT,BALLARAT-CARNGHAM ROAD,0.05853064689376108 km,5
76,T20180014850,143.77976999999998,-37.76777,GOLDEN PLAINS,COLAC-BALLARAT ROAD,3.5815570088663917 km,15
77,T20130026118,147.79697,-37.308479999999996,EAST GIPPSLAND,SPRING GULLY ROAD,0.0 km,1
78,T20150025472,145.64023999999998,-38.46228,BASS COAST,LOCH-WONTHAGGI ROAD,2.38022066708576 km,8
79,T20160016477,145.47966,-38.55232,BASS COAST,BASS HIGHWAY,1.3261989623255301 km,5
80,T20130025734,143.70091000000002,-37.59452,GOLDEN PLAINS,HADDON SCHOOL ROAD,0.18702571234259074 km,2
81,T20170003479,144.73092,-36.19732,CAMPASPE,NORTHERN HIGHWAY,0.5561556580030113 km,3
82,T20150021300,144.5284,-37.36558,MACEDON RANGES,HIGH STREET,5.383112970332362 km,43
83,T20130026144,145.93918,-36.47087,BENALLA,MIDLAND HIGHWAY,0.5077117900689165 km,3
84,T20140000432,145.39749,-36.38081,SHEPPARTON,MIDLAND HIGHWAY,14.456739637603265 km,595
85,T20170000110,143.78378,-37.041940000000004,CENTRAL GOLDFIELDS,TULLAROOP ROAD,2.433445159985803 km,9
86,T20180001625,145.01218,-37.32905,MITCHELL,OGRADYS ROAD,13.886845192252508 km,165
87,T20170000717,147.08897,-37.962540000000004,WELLINGTON,PRINCES HIGHWAY EAST,3.4812347283262777 km,23
88,T20130026548,144.29613999999998,-36.897459999999995,BENDIGO,BRYDEN ROAD,0.7304606311798048 km,2
89,T20130026550,141.24103,-36.37897,WEST WIMMERA,COMMERCIAL STREET,0.44086717027026695 km,7
90,T20130025396,146.38951,-36.933440000000004,WANGARATTA,UPPER KING RIVER ROAD,0.0 km,1
91,T20150000684,144.14042,-38.34253,SURF COAST,CECIL TRACK,4.064564849160705 km,39
92,T20160015750,144.98232,-37.4328,MITCHELL,HUME FREEWAY,8.470775100250592 km,175
93,T20160011724,146.25325,-37.837070000000004,(MOUNT BAW BAW),MT BAW BAW TOURIST ROAD,0.6874990009808195 km,3
94,T20130026180,143.43985,-37.96346,CORANGAMITE,HAMILTON HIGHWAY,0.0 km,1
95,T20150011298,144.23588999999998,-36.95567,MOUNT ALEXANDER,FOGARTYS GAP ROAD,0.45519838734855034 km,9
96,T20130025792,145.4929,-36.967,STRATHBOGIE,LONGWOOD-RUFFY ROAD,0.5576150840567524 km,2
97,T20130025793,146.39149,-37.78332,BAW BAW,DREAM CREEK TRACK,0.0 km,1
98,T20190000268,143.62097,-38.77885,COLAC OTWAY,GREAT OCEAN ROAD,0.8328570022570023 km,4
99,T20130026611,143.6595,-36.89134,CENTRAL GOLDFIELDS,SCENT FARM ROAD,0.0 km,1
100,T20150007727,146.37038,-37.71822,BAW BAW,DONNELLYS CREEK ROAD,0.15148258849353113 km,2
101,T20140007170,144.23001000000002,-37.598890000000004,MOORABOOL,BLACKWOOD STREET,6.776464254025396 km,46
102,T20150018587,145.77456,-38.09733,BAW BAW,SAND ROAD,3.1531319279283294 km,36
103,T20130025801,146.70877,-37.4785,WELLINGTON,TAMBORITHA ROAD,0.0 km,1
104,T20130025808,142.11568,-36.7551,HORSHAM,HORSHAM-NORADJUHA ROAD,0.0 km,1
105,T20130025810,143.53986,-37.289320000000004,PYRENEES,SUNRAYSIA HIGHWAY,0.278232364279566 km,2
106,T20140026947,144.71039,-38.174009999999996,GEELONG,MURRADOC ROAD,1.8099021870000762 km,11
107,T20130021076,144.57914,-37.45623,MACEDON RANGES,MACEDON-WOODEND ROAD,11.235854549777413 km,192
108,T20150023868,141.28597,-35.2591,MILDURA,MALLEE HIGHWAY,0.43928830411929926 km,2
109,T20130026629,141.87798999999998,-37.83051,SOUTHERN GRAMPIANS,HENTY HIGHWAY,0.0 km,1
110,T20160022971,144.96409,-37.366209999999995,MITCHELL,NORTHERN HIGHWAY,1.315716703474255 km,8
111,T20160004946,146.13225,-37.09064,MANSFIELD,MANSFIELD-WOODS POINT ROAD,1.4321685912766318 km,6
112,T20170004898,145.96725,-36.15665,MOIRA,TUNGAMAH MAIN ROAD,0.7357407621323537 km,3
113,T20130024714,145.82966000000002,-38.4373,SOUTH GIPPSLAND,MINE ROAD,4.534189497261464 km,42
114,T20160001068,144.60682,-37.34592,MACEDON RANGES,ROMSEY ROAD,0.9012507018052528 km,8
115,T20170023855,142.76973,-37.06207,NORTHERN GRAMPIANS,SMITH STREET,3.7826114730483416 km,36
116,T20170011511,144.1158,-36.742340000000006,BENDIGO,OSULLIVANS ROAD,0.5933368660427577 km,3
117,T20130025469,145.87335,-37.22043,MURRINDINDI,SKYLINE ROAD,0.0 km,1
118,T20130025475,146.74763000000002,-36.15271,INDIGO,BACK MARTINDALE ROAD,0.0 km,1
119,T20180018882,142.48199,-38.37519,WARRNAMBOOL,KING STREET,6.585284334962241 km,297
120,T20130025484,142.33205,-34.4223,MILDURA,HARDS ROAD,0.1516755303696485 km,2
121,T20130025825,145.92285,-37.30038,MURRINDINDI,EILDON-JAMIESON ROAD,0.5967361638856944 km,3
122,T20170003643,147.43312,-36.59751,TOWONG,OMEO HIGHWAY,1.2479799986697195 km,4
123,T20130026652,142.06808,-34.19661,MILDURA,MENA ROAD,1.50651501778313 km,9
124,T20160019861,144.74936,-36.13327,CAMPASPE,HIGH STREET,5.693058595596349 km,146
125,T20140004492,146.08902,-37.888220000000004,BAW BAW,MT BAW BAW TOURIST ROAD,0.7250512209656541 km,5
126,T20130026685,142.79433,-35.430640000000004,BULOKE,SALTWORKS ROAD,0.0 km,1
127,T20150023356,146.69386,-38.27778,WELLINGTON,HYLAND HIGHWAY,2.161274759088613 km,14
128,T20140011389,145.20061,-36.70709,STRATHBOGIE,GOULBURN VALLEY FREEWAY,2.6988314638408695 km,12
129,T20130024400,143.532,-38.7975,COLAC OTWAY,LIGHTHOUSE ROAD,0.0 km,1
130,T20180009362,142.29957,-38.346759999999996,MOYNE,PRINCES HIGHWAY,1.7152011717291142 km,6
131,T20130024766,143.95581,-36.19863,LODDON,LODDON VALLEY HIGHWAY,1.8228866757475164 km,5
132,T20130025114,145.8292,-38.57809,SOUTH GIPPSLAND,BASS HIGHWAY,1.8409876874829827 km,7
133,T20140020709,144.66589,-36.96799,BENDIGO,MCPHERSONS ROAD,0.6729786611075953 km,2
134,T20130023967,141.97303,-36.72948,HORSHAM,WIMMERA HIGHWAY,0.0 km,1
135,T20170024072,145.95658999999998,-37.94469,BAW BAW,MAIN NEERIM ROAD,2.1506756639549227 km,9
136,T20130023983,141.01208,-37.76291,GLENELG,GLENELG HIGHWAY,0.20882170979279793 km,3
137,T20160000374,145.9468,-38.47593,SOUTH GIPPSLAND,ROUGHEAD STREET,2.3408973664995294 km,41
138,T20130024786,143.48936,-38.78074,COLAC OTWAY,HORDERN VALE ROAD,0.0 km,1
139,T20130024805,146.41076999999999,-37.043659999999996,MANSFIELD,CARTERS ROAD,0.3944187877856825 km,2
140,T20160004036,142.7674,-34.615809999999996,SWAN HILL,ANZAC ROAD,2.179499975817366 km,12
141,T20150022236,144.83493,-36.59675,CAMPASPE,BENDIGO-MURCHISON ROAD,0.5829602507448227 km,4
142,T20180021429,144.04067,-37.55065,MOORABOOL,WESTERN FREEWAY,3.5218468872323614 km,17
143,T20130024005,143.6942,-37.03692,CENTRAL GOLDFIELDS,MARYBOROUGH-ST ARNAUD ROAD,0.0 km,1
144,T20130024024,146.49957,-36.84368,WANGARATTA,ROSE RIVER ROAD,0.0 km,1
145,T20130014131,144.17784,-38.04509,GOLDEN PLAINS,GEELONG ROAD,4.310937927779157 km,33
146,T20130024617,146.79376000000002,-36.13015,WODONGA,FELLTIMBER CREEK ROAD,0.2825702021722045 km,3
147,T20130024439,146.94805,-38.0473,WELLINGTON,SALE-HEYFIELD ROAD,0.25435050623683825 km,2
148,T20140022546,146.64608,-36.13391,INDIGO,CHILTERN-BARNAWARTHA ROAD,4.723581164919638 km,21
149,T20170017551,145.16044,-38.4966,BASS COAST,VENTNOR ROAD,0.6260104760259299 km,4
150,T20130024819,145.5932,-37.3778,MURRINDINDI,WATERWHEEL TRACK,0.0 km,1
151,T20130024822,145.05121,-37.048590000000004,MITCHELL,SEYMOUR-PYALONG ROAD,1.2943431630974493 km,4
152,T20180020898,145.24126,-37.46419,MURRINDINDI,MONARCH CLOSE,1.0205845482128106 km,4
153,T20130025176,142.79963,-37.48167,ARARAT,MAROONA-GLENTHOMPSON ROAD,0.0 km,1
154,T20150000637,146.18733999999998,-37.37185,MANSFIELD,MANSFIELD-WOODS POINT ROAD,0.970327779396897 km,4
155,T20150026801,144.56603,-38.19755,GEELONG,PRINCESS STREET,13.862717545062283 km,180
156,T20130024044,146.66612,-37.74553,WELLINGTON,LICOLA ROAD,0.23190896685268578 km,2
157,T20130024451,145.20383,-35.99908,MOIRA,MURRAY VALLEY HIGHWAY,0.0 km,2
158,T20130024458,146.73199,-36.29055,INDIGO,BEECHWORTH-WODONGA ROAD,0.0 km,1
159,T20130024841,146.20758999999998,-38.64893,SOUTH GIPPSLAND,SOUTH GIPPSLAND HIGHWAY,1.8821438855560197 km,10
160,T20130024843,148.20901,-37.70447,EAST GIPPSLAND,HARTLAND RIVER ROAD,0.0 km,1
161,T20130026914,143.58455,-38.34212,COLAC OTWAY,CORANGAMITE STREET,5.89320764689828 km,110
162,T20130024853,142.36914,-34.52463,MILDURA,KULKYNE WAY,0.0 km,1
163,T20160016565,143.5162,-36.35335,LODDON,CALDER HIGHWAY,0.5980748987577406 km,2
164,T20130024063,144.23901,-35.82443,GANNAWARRA,MURRAY VALLEY HIGHWAY,0.0 km,1
165,T20150009513,142.20233000000002,-36.71783,HORSHAM,HAMILTON STREET,5.1600130232057655 km,144
166,T20170017544,144.65888999999999,-38.26854,QUEENSCLIFFE,LEARMONTH STREET,0.48193358701163014 km,6
167,T20180012014,144.61369,-38.272490000000005,GEELONG,FELLOWS ROAD,1.7752860056832027 km,15
168,T20160012444,146.32371,-37.26595,MANSFIELD,MITCHELLS TRACK,0.7245329866781092 km,3
169,T20180007414,144.622,-37.23908,MACEDON RANGES,RIDGE ROAD,2.50866869490924 km,13
170,T20130024857,144.58782,-36.82612,BENDIGO,MCIVOR HIGHWAY,0.0 km,1
171,T20130024866,142.02383,-37.74102,SOUTHERN GRAMPIANS,LONSDALE STREET,4.255895489770448 km,58
172,T20130024867,141.4958,-38.346579999999996,GLENELG,TELEGRAPH ROAD,0.0 km,1
173,T20130025234,141.96149,-37.665009999999995,SOUTHERN GRAMPIANS,NIGRETTA ROAD,0.0 km,1
174,T20130024511,141.74576000000002,-37.95673,GLENELG,HENTY HIGHWAY,0.15729666876398238 km,2
175,T20130024875,145.644,-36.709509999999995,STRATHBOGIE,HUME FREEWAY,0.0 km,1
176,T20130024877,143.22393,-37.60114,PYRENEES,MT WILLIAM ROAD,0.0 km,1
177,T20180005223,144.092,-38.44263,SURF COAST,BAMBRA ROAD,0.37275184273757195 km,2
178,T20130015780,146.82163,-36.32573,INDIGO,BELLS FLAT ROAD,2.7944654814232117 km,12
179,T20130023710,141.01668999999998,-34.83141,MILDURA,BORDER TRACK,0.0 km,1
180,T20130016962,144.22087,-37.05751,MOUNT ALEXANDER,HARGRAVES STREET,8.173284908281609 km,81
181,T20140015135,145.94405,-38.05666,BAW BAW,MAIN NEERIM ROAD,4.306299701035842 km,23
182,T20170016411,144.13383000000002,-36.7337,BENDIGO,TORRENS STREET,1.3560936048955807 km,12
183,T20130024121,142.20729,-34.519040000000004,MILDURA,CALDER HIGHWAY,0.0 km,1
184,T20160010380,145.83333000000002,-38.37843,SOUTH GIPPSLAND,KORUMBURRA-WARRAGUL ROAD,3.6859227718298766 km,13
185,T20160022449,146.99116,-37.80238,WELLINGTON,DOWS ROAD,0.36280740452093596 km,3
186,T20130024129,145.34043,-37.53508,MURRINDINDI,HEIDELBERG-KINGLAKE ROAD,1.3752433537386128 km,7
187,T20180000599,145.25513,-38.50148,BASS COAST,MARLIN STREET,4.863854933423093 km,26
188,T20130024909,144.39584,-37.33153,HEPBURN,KYNETON-TRENTHAM ROAD -TRENTHAM ROAD,2.0460141071721694 km,8
189,T20130024911,145.44662,-36.89895,STRATHBOGIE,PONKEEN CREEK ROAD,0.0 km,1
190,T20140007384,144.93386,-36.355509999999995,CAMPASPE,WEBB ROAD,0.8567143743716008 km,4
191,T20130023723,146.80202,-37.98072,WELLINGTON,MAFFRA ROAD,1.5040207039506805 km,6
192,T20130023746,144.42518,-37.54984,MOORABOOL,BLUEGUM TRACK,0.0 km,1
193,T20150015502,143.92123,-36.12563,LODDON,LODDON VALLEY HIGHWAY,0.8178668312661289 km,3
194,T20130024143,146.37169,-37.09943,MANSFIELD,PLAIN CREEK TRACK,1.5728731808186915 km,5
195,T20170008130,144.23147,-38.07468,GOLDEN PLAINS,MIDLAND HIGHWAY,2.5924824769885135 km,22
196,T20180024461,143.73423,-37.21163,CENTRAL GOLDFIELDS,DUNACH-EDDINGTON ROAD,0.45935728271378207 km,3
197,T20130024547,143.79065,-36.874629999999996,CENTRAL GOLDFIELDS,DUNOLLY-EDDINGTON ROAD,0.0 km,1
198,T20190002305,146.53284,-38.24945,LATROBE,MATTINGLEY HILL ROAD,1.8033949704992132 km,7
199,T20130018574,145.9211,-38.90088,SOUTH GIPPSLAND,CAPE LIPTRAP ROAD,0.0 km,1
200,T20130018596,144.08125,-37.23554,HEPBURN,YANDOIT TRACK,0.0 km,1
201,T20130018597,144.3274,-37.3502,HEPBURN,PARADISE VALLEY ROAD,0.0 km,1
202,T20180024042,143.33742,-37.95282,CORANGAMITE,HIGH STREET,0.1512450998176922 km,4
203,T20150026763,145.09878,-37.091190000000005,MITCHELL,HUME FREEWAY,11.38992228884205 km,76
204,T20130018195,145.60696000000002,-36.93533,STRATHBOGIE,FREDRICKSONS LANE,0.0 km,1
205,T20180000143,145.87363,-37.02754,MANSFIELD,MAROONDAH HIGHWAY,3.7462650061041733 km,14
206,T20140024274,143.80159,-38.59535,COLAC OTWAY,BENWERRIN-MT SABINE ROAD,0.040442291550833696 km,2
207,T20160027969,142.63028,-36.982479999999995,NORTHERN GRAMPIANS,WESTERN HIGHWAY,1.0741330787593906 km,4
208,T20160009937,146.45455,-37.1324,(MOUNT BULLER),MT BULLER ROAD,1.3378173798529933 km,7
209,T20160003341,143.80993999999998,-38.34418,COLAC OTWAY,BIRREGURRA-DEANS MARSH ROAD,0.25116503793801714 km,3
210,T20130017766,145.571,-37.17772,MURRINDINDI,WHANREGARWEN ROAD,0.0 km,1
211,T20130017769,147.08848,-37.85502,WELLINGTON,BOUNDARY ROAD,0.7020979458930248 km,2
212,T20130018215,144.0407,-36.5749,LODDON,MARONG-SERPENTINE ROAD,0.0 km,1
213,T20130018641,143.16585,-38.46067,CORANGAMITE,SUNDAY RIDGE ROAD,0.0 km,1
214,T20160005674,145.60273999999998,-38.63728,BASS COAST,WILSONS ROAD,0.47035802575134716 km,4
215,T20130018646,142.40275,-36.83983,HORSHAM,WESTERN HIGHWAY,0.0 km,1
216,T20130018647,142.40876,-36.92658,NORTHERN GRAMPIANS,COPPERMINE TRACK,0.0 km,1
217,T20170010704,143.48553,-37.09134,PYRENEES,PYRENEES HIGHWAY,1.046382755019661 km,6
218,T20130017793,146.0547,-37.37604,MURRINDINDI,EILDON-JAMIESON ROAD,0.9574550041995139 km,4
219,T20130022733,145.48432,-37.16859,MURRINDINDI,ABES LANE,0.0 km,1
220,T20180006133,146.0905,-37.3157,MANSFIELD,EILDON-JAMIESON ROAD,2.2180662589097486 km,13
221,T20180005046,143.66945,-38.75703,COLAC OTWAY,MOORE STREET,1.5193323841521613 km,17
222,T20150016712,145.96071,-36.586209999999994,BENALLA,MANSFIELD ROAD,2.389531856195472 km,10
223,T20130023133,146.58338,-38.63479,WELLINGTON,SOUTH GIPPSLAND HIGHWAY,0.0 km,1
224,T20130023153,141.47093999999998,-37.93234,GLENELG,,0.0 km,1
225,T20180010376,144.71331999999998,-36.929109999999994,BENDIGO,LAST STREET,5.043748222310636 km,34
226,T20140001402,142.9339,-37.282709999999994,ARARAT,HIGH STREET,3.1041190749569325 km,49
227,T20130022373,146.96661,-36.423840000000006,ALPINE,ROBERTS TRACK,0.3981330696266734 km,2
228,T20180000756,146.36083,-37.06653,MANSFIELD,BUTTERCUP ROAD,0.2066377100326391 km,4
229,T20130025901,144.219,-35.81025,GANNAWARRA,CHANNEL STREET,1.0770770446954838 km,8
230,T20130022769,146.77804,-36.1574,INDIGO,TANNERS ROAD,0.0 km,1
231,T20130022775,146.68168,-36.26211,INDIGO,OLD COACH ROAD,0.0 km,1
232,T20130022777,146.8948,-37.85892,WELLINGTON,COMMONYARD ROAD,0.0 km,1
233,T20130022779,143.69554,-36.35562,LODDON,BOORT-WEDDERBURN ROAD -VERNON STREET,0.0 km,1
234,T20130023160,143.19832,-35.90705,BULOKE,SHEAHANS CHANNEL ROAD,0.0 km,1
235,T20130023171,141.80607,-38.22103,GLENELG,PRINCES HIGHWAY,0.0 km,1
236,T20150017341,144.72861,-37.42546,MACEDON RANGES,KILMORE ROAD,1.0364789639390226 km,8
237,T20180008549,146.94224,-36.72097,ALPINE,GREAT ALPINE ROAD,6.518109438968256 km,35
238,T20150025920,145.64856,-35.921,MOIRA,MAIN STREET,3.440950396438205 km,49
239,T20130022789,146.54971,-37.51618,WELLINGTON,GLENCAIRN ROAD,0.0 km,1
240,T20130022807,146.63445,-38.37697,WELLINGTON,MERRIMANS CREEK ROAD,0.0 km,1
241,T20130022817,142.83409,-34.656690000000005,SWAN HILL,MURRAY VALLEY HIGHWAY,0.0 km,1
242,T20130023182,146.98688,-38.09525,WELLINGTON,SALE-HEYFIELD ROAD,3.2352335684842735 km,21
243,T20180006319,141.55642,-38.31686,GLENELG,PORTLAND-NELSON ROAD,1.3477332904761266 km,8
244,T20130023206,147.33581,-37.44153,WELLINGTON,ORTON TRACK,0.0 km,1
245,T20130023622,144.46884,-37.4564,MACEDON RANGES,GERRYS TRACK,0.0 km,1
246,T20150025375,144.47142,-37.79137,MOORABOOL,BALLAN ROAD,0.5055426880297201 km,2
247,T20130022431,142.20333,-36.595040000000004,HORSHAM,BLUE RIBBON ROAD,1.3739086519645944 km,3
248,T20130026846,146.71413,-38.486779999999996,WELLINGTON,HYLAND HIGHWAY,0.6208958011054456 km,2
249,T20130022837,146.22453000000002,-36.95713,MANSFIELD,BUNSTONS ROAD,0.41458534025063215 km,2
250,T20130022844,144.13766999999999,-37.2547,HEPBURN,MIDLAND HIGHWAY,1.4341522477073454 km,8
251,T20170008226,148.83498,-37.646159999999995,EAST GIPPSLAND,PRINCES HIGHWAY EAST,1.45628302715251 km,7
252,T20180021580,143.48067,-38.34121,COLAC OTWAY,PRINCES HIGHWAY,0.8509448739372626 km,4
253,T20130023232,145.8069,-38.04825,BAW BAW,FOREST ROAD,0.5048148062872768 km,2
254,T20130023639,142.83983,-37.712509999999995,ARARAT,GLENELG HIGHWAY,0.0 km,1
255,T20180010390,146.91253,-36.27818,INDIGO,OSBORNES FLAT ROAD,1.5584194941663776 km,6
256,T20130022849,145.08536,-36.87737,MITCHELL,NORTHWOOD ROAD,0.06674076355657187 km,2
257,T20140023648,147.08508999999998,-37.005140000000004,(MOUNT HOTHAM),GREAT ALPINE ROAD,3.3154992524231686 km,13
258,T20150003653,144.46006,-37.24031,MACEDON RANGES,CALDER FREEWAY,8.588972880061354 km,81
259,T20130022473,144.05981,-36.05059,LODDON,GLADFIELD ROAD,0.0 km,1
